content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Udah order, nunggu motorcyle kelamaan gak datang. aplikasi tau² logout sendiri. Mau login malah gak bisa lagi, sudah melebihi batas panggilan. Sangat² mengecewakan",1,Negatif,udah order nunggu motorcyle kelamaan gak datang aplikasi tau logout sendiri mau login malah gak bisa lagi sudah melebihi batas panggilan sangat mengecewakan,udah order nunggu motorcyle gak aplikasi tau logout login gak melebihi batas panggilan mengecewakan,"['udah', 'order', 'nunggu', 'motorcyle', 'gak', 'aplikasi', 'tau', 'logout', 'login', 'gak', 'melebihi', 'batas', 'panggilan', 'mengecewakan']",udah order nunggu motorcyle gak aplikasi tau logout login gak lebih batas panggil kecewa
"kecewa pake Maxim pas pesan harga aplikasi lebih murah dri platform lain tapi setelah naik jdi berbeda lebih mahal jalannya jga dilama2in biar tarifnya mahal,, jemputnya jga lama krna dikasih jarak jauh mapsnya masih berantakan gk sesuai dan bnyak titik alamat yg gk ada mohon lebih ditingkatkan kualitasnya karena harga gk beda jauh sama aplikasi sebelah",2,Negatif,kecewa pake maxim pas pesan harga aplikasi lebih murah dri platform lain tapi setelah naik jdi berbeda lebih mahal jalannya jga dilamain biar tarifnya mahal jemputnya jga lama krna dikasih jarak jauh mapsnya masih berantakan gk sesuai dan bnyak titik alamat yg gk ada mohon lebih ditingkatkan kualitasnya karena harga gk beda jauh sama aplikasi sebelah,kecewa pake maxim pas pesan harga aplikasi murah dri platform jdi berbeda mahal jalannya jga dilamain biar tarifnya mahal jemputnya jga krna dikasih jarak mapsnya berantakan gk sesuai bnyak titik alamat yg gk mohon ditingkatkan kualitasnya harga gk beda aplikasi sebelah,"['kecewa', 'pake', 'maxim', 'pas', 'pesan', 'harga', 'aplikasi', 'murah', 'dri', 'platform', 'jdi', 'berbeda', 'mahal', 'jalannya', 'jga', 'dilamain', 'biar', 'tarifnya', 'mahal', 'jemputnya', 'jga', 'krna', 'dikasih', 'jarak', 'mapsnya', 'berantakan', 'gk', 'sesuai', 'bnyak', 'titik', 'alamat', 'yg', 'gk', 'mohon', 'ditingkatkan', 'kualitasnya', 'harga', 'gk', 'beda', 'aplikasi', 'sebelah']",kecewa pake maxim pas pesan harga aplikasi murah dri platform jdi beda mahal jalan jga dilamain biar tarif mahal jemput jga krna kasih jarak mapsnya beranta gk sesuai bnyak titik alamat yg gk mohon tingkat kualitas harga gk beda aplikasi belah
Kenapa sy pesan maxim tidak bisa. Tolong di perbaiki kembali aplikasi abang,1,Negatif,kenapa sy pesan maxim tidak bisa tolong di perbaiki kembali aplikasi abang,sy pesan maxim tolong perbaiki aplikasi abang,"['sy', 'pesan', 'maxim', 'tolong', 'perbaiki', 'aplikasi', 'abang']",sy pesan maxim tolong baik aplikasi abang
"Aplikasi paling guoblokkkkk...masak sama maps aja gak nyambung,gak bisa tersambung dgn WA dan juga gak akurat untuk kata pencarian untuk tujuannya",1,Negatif,aplikasi paling guoblokkkkkmasak sama maps aja gak nyambunggak bisa tersambung dgn wa dan juga gak akurat untuk kata pencarian untuk tujuannya,aplikasi guoblokkkkkmasak maps aja gak nyambunggak tersambung dgn wa gak akurat pencarian tujuannya,"['aplikasi', 'guoblokkkkkmasak', 'maps', 'aja', 'gak', 'nyambunggak', 'tersambung', 'dgn', 'wa', 'gak', 'akurat', 'pencarian', 'tujuannya']",aplikasi guoblokkkkkmasak maps aja gak nyambunggak sambung dgn wa gak akurat cari tuju
tolong direview kembali drivernya khususnya ojol yang ada dimakassar rata2 tidak pakai atribut motor beda plat beda drivernya juga kadang beda motor juga ada yang tidak layak beroperasi buat ojol kadang2 driver pakai akun doble atau aplikasi maxim drivernya 2 biasa saya belum sampai ditujuan driver terima orderan berikutnya di akun doblenya jadi tolong pihak aplikator dipantau drivernya kami pengguna ojol khususnya maxim merasa was-was kalau dijemput beda dengan apa yang ada dilapangan,5,Positif,tolong direview kembali drivernya khususnya ojol yang ada dimakassar rata tidak pakai atribut motor beda plat beda drivernya juga kadang beda motor juga ada yang tidak layak beroperasi buat ojol kadang driver pakai akun doble atau aplikasi maxim drivernya  biasa saya belum sampai ditujuan driver terima orderan berikutnya di akun doblenya jadi tolong pihak aplikator dipantau drivernya kami pengguna ojol khususnya maxim merasa waswas kalau dijemput beda dengan apa yang ada dilapangan,tolong direview drivernya ojol dimakassar pakai atribut motor beda plat beda drivernya kadang beda motor layak beroperasi ojol kadang driver pakai akun doble aplikasi maxim drivernya ditujuan driver terima orderan akun doblenya tolong aplikator dipantau drivernya pengguna ojol maxim waswas dijemput beda dilapangan,"['tolong', 'direview', 'drivernya', 'ojol', 'dimakassar', 'pakai', 'atribut', 'motor', 'beda', 'plat', 'beda', 'drivernya', 'kadang', 'beda', 'motor', 'layak', 'beroperasi', 'ojol', 'kadang', 'driver', 'pakai', 'akun', 'doble', 'aplikasi', 'maxim', 'drivernya', 'ditujuan', 'driver', 'terima', 'orderan', 'akun', 'doblenya', 'tolong', 'aplikator', 'dipantau', 'drivernya', 'pengguna', 'ojol', 'maxim', 'waswas', 'dijemput', 'beda', 'dilapangan']",tolong direview drivernya ojol dimakassar pakai atribut motor beda plat beda drivernya kadang beda motor layak operasi ojol kadang driver pakai akun doble aplikasi maxim drivernya tuju driver terima order akun doble tolong aplikator pantau drivernya guna ojol maxim waswas jemput beda lapang
"Aplikasi promo nya bohong di aplikasi sy dpt hrga murah yg di coret karna promo pas naik driver nagih ny beda jdi di apliksi kita sma aplikasi driver beda hrga ny,klo ga siap ksh promo mending ga ush di buat ada promo",1,Negatif,aplikasi promo nya bohong di aplikasi sy dpt hrga murah yg di coret karna promo pas naik driver nagih ny beda jdi di apliksi kita sma aplikasi driver beda hrga nyklo ga siap ksh promo mending ga ush di buat ada promo,aplikasi promo nya bohong aplikasi sy dpt hrga murah yg coret karna promo pas driver nagih ny beda jdi apliksi sma aplikasi driver beda hrga nyklo ga ksh promo mending ga ush promo,"['aplikasi', 'promo', 'nya', 'bohong', 'aplikasi', 'sy', 'dpt', 'hrga', 'murah', 'yg', 'coret', 'karna', 'promo', 'pas', 'driver', 'nagih', 'ny', 'beda', 'jdi', 'apliksi', 'sma', 'aplikasi', 'driver', 'beda', 'hrga', 'nyklo', 'ga', 'ksh', 'promo', 'mending', 'ga', 'ush', 'promo']",aplikasi promo nya bohong aplikasi sy dpt hrga murah yg coret karna promo pas driver nagih ny beda jdi apliksi sma aplikasi driver beda hrga nyklo ga ksh promo mending ga ush promo
"Pesanan sudah saya batalkan tetapi masih terus berlanjut,, sudah terlanjur beli sendiri malah baru konfirmasi,,,, tolong di baiki lagi sistem nya",1,Negatif,pesanan sudah saya batalkan tetapi masih terus berlanjut sudah terlanjur beli sendiri malah baru konfirmasi tolong di baiki lagi sistem nya,pesanan batalkan berlanjut terlanjur beli konfirmasi tolong baiki sistem nya,"['pesanan', 'batalkan', 'berlanjut', 'terlanjur', 'beli', 'konfirmasi', 'tolong', 'baiki', 'sistem', 'nya']",pesan batal lanjut lanjur beli konfirmasi tolong baik sistem nya
coba pakai bahasa indonesia sama menunya diperbanyak,4,Positif,coba pakai bahasa indonesia sama menunya diperbanyak,coba pakai bahasa indonesia menunya diperbanyak,"['coba', 'pakai', 'bahasa', 'indonesia', 'menunya', 'diperbanyak']",coba pakai bahasa indonesia menu banyak
driver nya super sabar dan baik.. makasih sudah mengantar sampai tujuan dengan selamat🙏,5,Positif,driver nya super sabar dan baik makasih sudah mengantar sampai tujuan dengan selamat,driver nya super sabar makasih mengantar tujuan selamat,"['driver', 'nya', 'super', 'sabar', 'makasih', 'mengantar', 'tujuan', 'selamat']",driver nya super sabar makasih antar tuju selamat
"pelayananny baik sekali pengemudiny jg ramah mengendarainy jg tdk kebut""an..",5,Positif,pelayananny baik sekali pengemudiny jg ramah mengendarainy jg tdk kebutan,pelayananny pengemudiny jg ramah mengendarainy jg tdk kebutan,"['pelayananny', 'pengemudiny', 'jg', 'ramah', 'mengendarainy', 'jg', 'tdk', 'kebutan']",pelayananny pengemudiny jg ramah mengendarainy jg tdk kebut
"overall untuk harga sangat amat terjangkau, namun masih ada kekurangannya seperti pencarian maxim sangat amat sulit sekali dan sama tidak ada fitur pengambilan gambar diroom chat sama driver jadi agak sulit menentukan titik satu sama lain.. mohon pihak maxim di pertambah🙏",4,Positif,overall untuk harga sangat amat terjangkau namun masih ada kekurangannya seperti pencarian maxim sangat amat sulit sekali dan sama tidak ada fitur pengambilan gambar diroom chat sama driver jadi agak sulit menentukan titik satu sama lain mohon pihak maxim di pertambah,overall harga terjangkau kekurangannya pencarian maxim sulit fitur pengambilan gambar diroom chat driver sulit menentukan titik mohon maxim pertambah,"['overall', 'harga', 'terjangkau', 'kekurangannya', 'pencarian', 'maxim', 'sulit', 'fitur', 'pengambilan', 'gambar', 'diroom', 'chat', 'driver', 'sulit', 'menentukan', 'titik', 'mohon', 'maxim', 'pertambah']",overall harga jangkau kurang cari maxim sulit fitur ambil gambar diroom chat driver sulit tentu titik mohon maxim tambah
mas nya sopan. meski sya bawa anak² kecil 2..juga g ngebut.. murah juga.. recomended..,5,Positif,mas nya sopan meski sya bawa anak kecil juga g ngebut murah juga recomended,mas nya sopan sya bawa anak g ngebut murah recomended,"['mas', 'nya', 'sopan', 'sya', 'bawa', 'anak', 'g', 'ngebut', 'murah', 'recomended']",mas nya sopan sya bawa anak g ngebut murah recomended
"Aplikasinya sangat lambat, mohon segera perbanyak driver dan titiknya harus jelassss di dalam maps apk maxim. Tolong segera di tanggapi keluhan ini. Terimaksih",1,Negatif,aplikasinya sangat lambat mohon segera perbanyak driver dan titiknya harus jelassss di dalam maps apk maxim tolong segera di tanggapi keluhan ini terimaksih,aplikasinya lambat mohon perbanyak driver titiknya jelassss maps apk maxim tolong tanggapi keluhan terimaksih,"['aplikasinya', 'lambat', 'mohon', 'perbanyak', 'driver', 'titiknya', 'jelassss', 'maps', 'apk', 'maxim', 'tolong', 'tanggapi', 'keluhan', 'terimaksih']",aplikasi lambat mohon banyak driver titik jelassss maps apk maxim tolong tanggap keluh terimaksih
"bagus, murah, tepat sasaran namun untuk maps masih kurang bisa memerinci",4,Positif,bagus murah tepat sasaran namun untuk maps masih kurang bisa memerinci,bagus murah sasaran maps memerinci,"['bagus', 'murah', 'sasaran', 'maps', 'memerinci']",bagus murah sasar maps perinci
"komukasi yg bagus , dan cepat dlam berkendara",5,Positif,komukasi yg bagus  dan cepat dlam berkendara,komukasi yg bagus cepat dlam berkendara,"['komukasi', 'yg', 'bagus', 'cepat', 'dlam', 'berkendara']",komukasi yg bagus cepat dlam kendara
Saya sering pake maxim tapi kadang maps nya susah dicari knp ya,5,Positif,saya sering pake maxim tapi kadang maps nya susah dicari knp ya,pake maxim kadang maps nya susah dicari knp ya,"['pake', 'maxim', 'kadang', 'maps', 'nya', 'susah', 'dicari', 'knp', 'ya']",pake maxim kadang maps nya susah cari knp ya
"Harga menarik dan sekali order langsung nyampe drivernya , , mantaap",5,Positif,harga menarik dan sekali order langsung nyampe drivernya   mantaap,harga menarik order langsung nyampe drivernya mantaap,"['harga', 'menarik', 'order', 'langsung', 'nyampe', 'drivernya', 'mantaap']",harga tarik order langsung nyampe drivernya mantaap
Kode verifikasi tidak tidak terkirim. Sudah dicoba 100 kali. Sama saja. Instal ulang sama saja. Padahal saya mau order untuk pulang. Aplikasi apa ini,4,Positif,kode verifikasi tidak tidak terkirim sudah dicoba  kali sama saja instal ulang sama saja padahal saya mau order untuk pulang aplikasi apa ini,kode verifikasi terkirim dicoba kali instal ulang order pulang aplikasi,"['kode', 'verifikasi', 'terkirim', 'dicoba', 'kali', 'instal', 'ulang', 'order', 'pulang', 'aplikasi']",kode verifikasi kirim coba kali instal ulang order pulang aplikasi
"pengiriman cepat, pengemudi sopan dan ramah",5,Positif,pengiriman cepat pengemudi sopan dan ramah,pengiriman cepat pengemudi sopan ramah,"['pengiriman', 'cepat', 'pengemudi', 'sopan', 'ramah']",kirim cepat kemudi sopan ramah
"Di kotaku driver Maxim banyak yang beda wajah di aplikasi sama plat nomor nya beda,tapi dia ngotot juga jemput aku,lalu aku cancel aja di depan dia dengan alasan kamu tidak sesuai dengan wajah dan plat nomornya alias pake akun orang lain.",2,Negatif,di kotaku driver maxim banyak yang beda wajah di aplikasi sama plat nomor nya bedatapi dia ngotot juga jemput akulalu aku cancel aja di depan dia dengan alasan kamu tidak sesuai dengan wajah dan plat nomornya alias pake akun orang lain,kotaku driver maxim beda wajah aplikasi plat nomor nya bedatapi ngotot jemput akulalu cancel aja alasan sesuai wajah plat nomornya alias pake akun orang,"['kotaku', 'driver', 'maxim', 'beda', 'wajah', 'aplikasi', 'plat', 'nomor', 'nya', 'bedatapi', 'ngotot', 'jemput', 'akulalu', 'cancel', 'aja', 'alasan', 'sesuai', 'wajah', 'plat', 'nomornya', 'alias', 'pake', 'akun', 'orang']",kota driver maxim beda wajah aplikasi plat nomor nya bedatapi ngotot jemput akulalu cancel aja alas sesuai wajah plat nomor alias pake akun orang
"Banyak yg harus diperbaiki. Login susah hnya bisa menggunakan no tlp saja, mapsnya gak jelas, kode log in yg di kirim lama bgt, top up saldonya gak bisa langsung dari aplikasi maximnya jadi males pake maxim padahal harganya lumayan terjangkau dari kompetitor lain, tapi settingannya ribet tidak mempermudah pelanggan sama sekali.",2,Negatif,banyak yg harus diperbaiki login susah hnya bisa menggunakan no tlp saja mapsnya gak jelas kode log in yg di kirim lama bgt top up saldonya gak bisa langsung dari aplikasi maximnya jadi males pake maxim padahal harganya lumayan terjangkau dari kompetitor lain tapi settingannya ribet tidak mempermudah pelanggan sama sekali,yg diperbaiki login susah hnya no tlp mapsnya gak kode log in yg kirim bgt top up saldonya gak langsung aplikasi maximnya males pake maxim harganya lumayan terjangkau kompetitor settingannya ribet mempermudah pelanggan,"['yg', 'diperbaiki', 'login', 'susah', 'hnya', 'no', 'tlp', 'mapsnya', 'gak', 'kode', 'log', 'in', 'yg', 'kirim', 'bgt', 'top', 'up', 'saldonya', 'gak', 'langsung', 'aplikasi', 'maximnya', 'males', 'pake', 'maxim', 'harganya', 'lumayan', 'terjangkau', 'kompetitor', 'settingannya', 'ribet', 'mempermudah', 'pelanggan']",yg baik login susah hnya no tlp mapsnya gak kode log in yg kirim bgt top up saldo gak langsung aplikasi maximnya males pake maxim harga lumayan jangkau kompetitor settingannya ribet mudah langgan
"Pertama kali naik maxim .. Waktu order biaya yg terlihat cuma 11rb an , pas sampai dilokasi tujuan berubah jadi 13rb an .. Memang si selisih ga banyak tapi kasian sama orang yg cuma bawa uang pas2an . Di aplikasi tertera pembayaran nontunai tapi anehnya gabisa di klik .. Tolong update lagi biar pengemudi dan penumpang sama2 enak",2,Negatif,pertama kali naik maxim  waktu order biaya yg terlihat cuma rb an  pas sampai dilokasi tujuan berubah jadi rb an  memang si selisih ga banyak tapi kasian sama orang yg cuma bawa uang pasan  di aplikasi tertera pembayaran nontunai tapi anehnya gabisa di klik  tolong update lagi biar pengemudi dan penumpang sama enak,kali maxim order biaya yg rb an pas dilokasi tujuan berubah rb an si selisih ga kasian orang yg bawa uang pasan aplikasi tertera pembayaran nontunai anehnya gabisa klik tolong update biar pengemudi penumpang enak,"['kali', 'maxim', 'order', 'biaya', 'yg', 'rb', 'an', 'pas', 'dilokasi', 'tujuan', 'berubah', 'rb', 'an', 'si', 'selisih', 'ga', 'kasian', 'orang', 'yg', 'bawa', 'uang', 'pasan', 'aplikasi', 'tertera', 'pembayaran', 'nontunai', 'anehnya', 'gabisa', 'klik', 'tolong', 'update', 'biar', 'pengemudi', 'penumpang', 'enak']",kali maxim order biaya yg rb an pas lokasi tuju ubah rb an si selisih ga kasi orang yg bawa uang pas aplikasi tera bayar nontunai aneh gabisa klik tolong update biar kemudi tumpang enak
Alhamdulillah kurir maxim bekerja dgn baik dan sngt memuaskan dan ramah dan sangat2 membantu skli😇🙏,5,Positif,alhamdulillah kurir maxim bekerja dgn baik dan sngt memuaskan dan ramah dan sangat membantu skli,alhamdulillah kurir maxim dgn sngt memuaskan ramah membantu skli,"['alhamdulillah', 'kurir', 'maxim', 'dgn', 'sngt', 'memuaskan', 'ramah', 'membantu', 'skli']",alhamdulillah kurir maxim dgn sngt muas ramah bantu skli
"tepat waktu, ramah dan sangat membantu. trims mas radit",5,Positif,tepat waktu ramah dan sangat membantu trims mas radit,ramah membantu trims mas radit,"['ramah', 'membantu', 'trims', 'mas', 'radit']",ramah bantu trims mas radit
"Di fitur chat ga bisa kirim gambar, sudah gitu ada waktu berbayar, mending kalo di maps nya kebaca semua sama maps maxim.. Ini mah kagak.. Jadi sering kena waktu berbayar gara2 driver ga bisa nemuin alamat.. Masih banyak yg perlu di perbaiki",1,Negatif,di fitur chat ga bisa kirim gambar sudah gitu ada waktu berbayar mending kalo di maps nya kebaca semua sama maps maxim ini mah kagak jadi sering kena waktu berbayar gara driver ga bisa nemuin alamat masih banyak yg perlu di perbaiki,fitur chat ga kirim gambar gitu berbayar mending kalo maps nya kebaca maps maxim mah kagak kena berbayar gara driver ga nemuin alamat yg perbaiki,"['fitur', 'chat', 'ga', 'kirim', 'gambar', 'gitu', 'berbayar', 'mending', 'kalo', 'maps', 'nya', 'kebaca', 'maps', 'maxim', 'mah', 'kagak', 'kena', 'berbayar', 'gara', 'driver', 'ga', 'nemuin', 'alamat', 'yg', 'perbaiki']",fitur chat ga kirim gambar gitu bayar mending kalo maps nya baca maps maxim mah kagak kena bayar gara driver ga nemuin alamat yg baik
terima kasih atas kunjungannya menjadi salah satu dari management gojek kilat khusus sesuai kebutuhan lainnya menyukai ini saya mau tingkatkan kualitas sumber daya manusia yang sesuai dengan keinginan kita kembangkan teknologi informasi TELEMATIKA INDONESIAN,5,Positif,terima kasih atas kunjungannya menjadi salah satu dari management gojek kilat khusus sesuai kebutuhan lainnya menyukai ini saya mau tingkatkan kualitas sumber daya manusia yang sesuai dengan keinginan kita kembangkan teknologi informasi telematika indonesian,terima kasih kunjungannya salah management gojek kilat khusus sesuai kebutuhan menyukai tingkatkan kualitas sumber daya manusia sesuai kembangkan teknologi informasi telematika indonesian,"['terima', 'kasih', 'kunjungannya', 'salah', 'management', 'gojek', 'kilat', 'khusus', 'sesuai', 'kebutuhan', 'menyukai', 'tingkatkan', 'kualitas', 'sumber', 'daya', 'manusia', 'sesuai', 'kembangkan', 'teknologi', 'informasi', 'telematika', 'indonesian']",terima kasih kunjung salah management gojek kilat khusus sesuai butuh suka tingkat kualitas sumber daya manusia sesuai kembang teknologi informasi telematika indonesian
untuk pertama kali pake aplikasi ini bagus..harganya juga murah.. mungkin perlu diperbaharui lagi maps nya biar bisa sampek di titik yang dalam.. titiknya kebanyakan sampek depan gang aja..,4,Positif,untuk pertama kali pake aplikasi ini bagusharganya juga murah mungkin perlu diperbaharui lagi maps nya biar bisa sampek di titik yang dalam titiknya kebanyakan sampek depan gang aja,kali pake aplikasi bagusharganya murah diperbaharui maps nya biar sampek titik titiknya kebanyakan sampek gang aja,"['kali', 'pake', 'aplikasi', 'bagusharganya', 'murah', 'diperbaharui', 'maps', 'nya', 'biar', 'sampek', 'titik', 'titiknya', 'kebanyakan', 'sampek', 'gang', 'aja']",kali pake aplikasi bagusharganya murah baharu maps nya biar sampek titik titik banyak sampek gang aja
"Susah cari driver nya, jadi sering ngecewain pelanggan karna orderan nya yang telat Di tambah susah nyari alamat, karna maps yang kurang lengkap buat nentuin titik lokasi",1,Negatif,susah cari driver nya jadi sering ngecewain pelanggan karna orderan nya yang telat di tambah susah nyari alamat karna maps yang kurang lengkap buat nentuin titik lokasi,susah cari driver nya ngecewain pelanggan karna orderan nya telat susah nyari alamat karna maps lengkap nentuin titik lokasi,"['susah', 'cari', 'driver', 'nya', 'ngecewain', 'pelanggan', 'karna', 'orderan', 'nya', 'telat', 'susah', 'nyari', 'alamat', 'karna', 'maps', 'lengkap', 'nentuin', 'titik', 'lokasi']",susah cari driver nya ngecewain langgan karna order nya telat susah nyari alamat karna maps lengkap nentuin titik lokasi
"nearby driver melebihi jarak 1km, tidak sekalian di irak saja!! tolong diperkecil, agar jadi aplikator yang tidak mencekik bagi pengguna dan driver",2,Negatif,nearby driver melebihi jarak km tidak sekalian di irak saja tolong diperkecil agar jadi aplikator yang tidak mencekik bagi pengguna dan driver,nearby driver melebihi jarak km irak tolong diperkecil aplikator mencekik pengguna driver,"['nearby', 'driver', 'melebihi', 'jarak', 'km', 'irak', 'tolong', 'diperkecil', 'aplikator', 'mencekik', 'pengguna', 'driver']",nearby driver lebih jarak km irak tolong kecil aplikator cekik guna driver
Semoga yah tolobg yah peta nya di perbaiki lagi banyak yag ga muncul nama jalan ya hanya jalan Poko nya doang tolong di perbaiki lagi yah,5,Positif,semoga yah tolobg yah peta nya di perbaiki lagi banyak yag ga muncul nama jalan ya hanya jalan poko nya doang tolong di perbaiki lagi yah,semoga yah tolobg yah peta nya perbaiki yag ga muncul nama jalan ya jalan poko nya doang tolong perbaiki yah,"['semoga', 'yah', 'tolobg', 'yah', 'peta', 'nya', 'perbaiki', 'yag', 'ga', 'muncul', 'nama', 'jalan', 'ya', 'jalan', 'poko', 'nya', 'doang', 'tolong', 'perbaiki', 'yah']",moga yah tolobg yah peta nya baik yag ga muncul nama jalan ya jalan poko nya doang tolong baik yah
"pelayanan sangat baik, Driver sangat ramah, penjemputan cepat dan tepat, thanks om maxim",5,Positif,pelayanan sangat baik driver sangat ramah penjemputan cepat dan tepat thanks om maxim,pelayanan driver ramah penjemputan cepat thanks om maxim,"['pelayanan', 'driver', 'ramah', 'penjemputan', 'cepat', 'thanks', 'om', 'maxim']",layan driver ramah jemput cepat thanks om maxim
"Pusat pengaduan nya cepat tanggap.....mencegah Maling berkedok driver pengiriman, barang belum selesai diantar malah dipencet cari ulang driver. Barang antaran diambil dia, gak bisa dikomplent karena jejak pesanan gak ada.",5,Positif,pusat pengaduan nya cepat tanggapmencegah maling berkedok driver pengiriman barang belum selesai diantar malah dipencet cari ulang driver barang antaran diambil dia gak bisa dikomplent karena jejak pesanan gak ada,pusat pengaduan nya cepat tanggapmencegah maling berkedok driver pengiriman barang selesai diantar dipencet cari ulang driver barang antaran diambil gak dikomplent jejak pesanan gak,"['pusat', 'pengaduan', 'nya', 'cepat', 'tanggapmencegah', 'maling', 'berkedok', 'driver', 'pengiriman', 'barang', 'selesai', 'diantar', 'dipencet', 'cari', 'ulang', 'driver', 'barang', 'antaran', 'diambil', 'gak', 'dikomplent', 'jejak', 'pesanan', 'gak']",pusat adu nya cepat tanggapmencegah maling kedok driver kirim barang selesai antar pencet cari ulang driver barang antar ambil gak dikomplent jejak pesan gak
