content,score,Label
tolong direview kembali drivernya khususnya ojol yang ada dimakassar rata2 tidak pakai atribut motor beda plat beda drivernya juga kadang beda motor juga ada yang tidak layak beroperasi buat ojol kadang2 driver pakai akun doble atau aplikasi maxim drivernya 2 biasa saya belum sampai ditujuan driver terima orderan berikutnya di akun doblenya jadi tolong pihak aplikator dipantau drivernya kami pengguna ojol khususnya maxim merasa was-was kalau dijemput beda dengan apa yang ada dilapangan,5,Positif
"Aplikasi promo nya bohong di aplikasi sy dpt hrga murah yg di coret karna promo pas naik driver nagih ny beda jdi di apliksi kita sma aplikasi driver beda hrga ny,klo ga siap ksh promo mending ga ush di buat ada promo",1,Negatif
"Pesanan sudah saya batalkan tetapi masih terus berlanjut,, sudah terlanjur beli sendiri malah baru konfirmasi,,,, tolong di baiki lagi sistem nya",1,Negatif
coba pakai bahasa indonesia sama menunya diperbanyak,4,Positif
driver nya super sabar dan baik.. makasih sudah mengantar sampai tujuan dengan selamat🙏,5,Positif
"pelayananny baik sekali pengemudiny jg ramah mengendarainy jg tdk kebut""an..",5,Positif
"Maps belum update jadi suka bingung kasi posisi jemput n posisi untuk tujuannya.. terima kasih,",3,
"overall untuk harga sangat amat terjangkau, namun masih ada kekurangannya seperti pencarian maxim sangat amat sulit sekali dan sama tidak ada fitur pengambilan gambar diroom chat sama driver jadi agak sulit menentukan titik satu sama lain.. mohon pihak maxim di pertambah🙏",4,Positif
mas nya sopan. meski sya bawa anak² kecil 2..juga g ngebut.. murah juga.. recomended..,5,Positif
"Ketersediaan driver banyak dan murah, cuma susah banget utk membatalkan pesanan ketika kita salah membuat alamat",3,
"Aplikasinya sangat lambat, mohon segera perbanyak driver dan titiknya harus jelassss di dalam maps apk maxim. Tolong segera di tanggapi keluhan ini. Terimaksih",1,Negatif
"bagus, murah, tepat sasaran namun untuk maps masih kurang bisa memerinci",4,Positif
"komukasi yg bagus , dan cepat dlam berkendara",5,Positif
Saya sering pake maxim tapi kadang maps nya susah dicari knp ya,5,Positif
"Harga menarik dan sekali order langsung nyampe drivernya , , mantaap",5,Positif
Kode verifikasi tidak tidak terkirim. Sudah dicoba 100 kali. Sama saja. Instal ulang sama saja. Padahal saya mau order untuk pulang. Aplikasi apa ini,4,Positif
"pengiriman cepat, pengemudi sopan dan ramah",5,Positif
"Di kotaku driver Maxim banyak yang beda wajah di aplikasi sama plat nomor nya beda,tapi dia ngotot juga jemput aku,lalu aku cancel aja di depan dia dengan alasan kamu tidak sesuai dengan wajah dan plat nomornya alias pake akun orang lain.",2,Negatif
"Banyak yg harus diperbaiki. Login susah hnya bisa menggunakan no tlp saja, mapsnya gak jelas, kode log in yg di kirim lama bgt, top up saldonya gak bisa langsung dari aplikasi maximnya jadi males pake maxim padahal harganya lumayan terjangkau dari kompetitor lain, tapi settingannya ribet tidak mempermudah pelanggan sama sekali.",2,Negatif
"Pertama kali naik maxim .. Waktu order biaya yg terlihat cuma 11rb an , pas sampai dilokasi tujuan berubah jadi 13rb an .. Memang si selisih ga banyak tapi kasian sama orang yg cuma bawa uang pas2an . Di aplikasi tertera pembayaran nontunai tapi anehnya gabisa di klik .. Tolong update lagi biar pengemudi dan penumpang sama2 enak",2,Negatif
Alhamdulillah kurir maxim bekerja dgn baik dan sngt memuaskan dan ramah dan sangat2 membantu skli😇🙏,5,Positif
"Udah cepet orderan nya lumayan, terus drivernya juga cepat, tapi ada kendala dibagian pas membatalkan orderan tidak ada pilihannya. Terutama dibagian orderan food, jadi susah. kasian driver nya, saya bolak balik batalkan, terus bukannya batal malah mencari driver baru terus. Tolong diperhatikan lagi dibagian ini.",3,
"tepat waktu, ramah dan sangat membantu. trims mas radit",5,Positif
"Di fitur chat ga bisa kirim gambar, sudah gitu ada waktu berbayar, mending kalo di maps nya kebaca semua sama maps maxim.. Ini mah kagak.. Jadi sering kena waktu berbayar gara2 driver ga bisa nemuin alamat.. Masih banyak yg perlu di perbaiki",1,Negatif
terima kasih atas kunjungannya menjadi salah satu dari management gojek kilat khusus sesuai kebutuhan lainnya menyukai ini saya mau tingkatkan kualitas sumber daya manusia yang sesuai dengan keinginan kita kembangkan teknologi informasi TELEMATIKA INDONESIAN,5,Positif
untuk pertama kali pake aplikasi ini bagus..harganya juga murah.. mungkin perlu diperbaharui lagi maps nya biar bisa sampek di titik yang dalam.. titiknya kebanyakan sampek depan gang aja..,4,Positif
"Susah cari driver nya, jadi sering ngecewain pelanggan karna orderan nya yang telat Di tambah susah nyari alamat, karna maps yang kurang lengkap buat nentuin titik lokasi",1,Negatif
"nearby driver melebihi jarak 1km, tidak sekalian di irak saja!! tolong diperkecil, agar jadi aplikator yang tidak mencekik bagi pengguna dan driver",2,Negatif
Semoga yah tolobg yah peta nya di perbaiki lagi banyak yag ga muncul nama jalan ya hanya jalan Poko nya doang tolong di perbaiki lagi yah,5,Positif
"bintang 3 dl soalnya tampilan maps blm jelas dan record perjalanannya ga sejelas aplikasi yg sejenis,but so far its oke,thanks maxim",3,
"pelayanan sangat baik, Driver sangat ramah, penjemputan cepat dan tepat, thanks om maxim",5,Positif
"Pusat pengaduan nya cepat tanggap.....mencegah Maling berkedok driver pengiriman, barang belum selesai diantar malah dipencet cari ulang driver. Barang antaran diambil dia, gak bisa dikomplent karena jejak pesanan gak ada.",5,Positif
sangat baik dan luar biasa drivernya makasih dah anter saya ketempat tujuan,5,Positif
"pas order, cepat sampai nya... kereenn... tepat waktu, ga nunggu lama👍",5,Positif
"terimakasih ya si kuning.... semoga gacor, jangan lupa pintar pintar memenej keuangan ya abang soalnya si kuning blum ada dompet digital, seperti ovo atau gopay, jangan sampai liat pendapatan sehari dapet 300rb, tapi duitnya gak ada, jadi kopi, es, cilok dll 🤣🤣🤣🤣🤣🤣🤣 semangat abaaaaaannngggg.....",5,Positif
"harganya terjangkau banget si, karna lumayan beda sama app sebelah. palagi buat anak sekolahan, tapi sayangnya alamatnya masih belum lengkap... semoga ada perbaikan untuk mapsnya biar lebih lengkap dan gampang untuk nentuin titik jemput n tujuan. terima kasiiih",5,Positif
"Maps daerah kabupaten Tangerang sangat tidak bagus , apalagi untuk di pedalaman ..",1,Negatif
"Tingkatin lagi Maps nya, dan Tolong Tambahkan untuk Daerah BREBES JAWA TENGAH🙏",3,
driver ramah baik dan sopan jemput tepat waktu juga dan kendaraan bersih wangi juga maxim sangat membantu mempermudah kerja masyarakat dan transportasi yg sangat murah lebih di tingkatkan lagi ya maxim,5,Positif
"Kecewa bgt sama aplikasi ini, masa sy pilih pembayaran via saldo akun dan saldo akun sy sdh terpotong tp drivernya gak pernah ada pembayaran dari saldo akun mau di gojek apapun semua cash, aku udah jelasin panjang lebar bahkan aku kasih tunjuk riwayat perjalanan aku yg pake saldo akun di maxim, tapi drivernya ngotot belum kena bayar, akhirnya karna sy sdh cape berdebat sy kasih lagi cash ke drivernya, maxim driver yg suka nipu masih dipertahankan gak dikasih konsekuensi.",1,Negatif
"Kurang sih apa karena baru alamat yang di tujuh kurang lengkap juga, trs sama biaya pas pesen sama pas sampe berubah memang gak besar tapi kok bisa seperti itu jadi bagi saya kurang. Trs sama draver nya kurang aktif saat chat",3,
apk ya sangat membantu bagi saya.... tapi kasian juga abang driver ya dgn ongkos yg murah apa... bisa balik modal,5,Positif
Para driver banyak yang melakukan pelecehan kepada para penumpang khususnya wanita. Memang murah tapi hati-hati lebih rentan terhadap pelecehan oleh drivernya. Lebih baik bayar lebih mahal dikit tapi keamanan bisa lebih tinggi,1,Negatif
Tolong dong pihak maxim... Banyak drifer tidak menggunakan atribut baik jaket dan helm sebagai identitas drifer... Agar kami tau mana drifer maxim mana opang. Dan tak sesuai identitas asli.,5,Positif
Awal² mau nyoba dengan metode pembayaran kaspro sudah transfer & berhasil tetapi kenapa tidak masuk ke kaspro saya ya?,1,Negatif
"bapaknya baik dan ramah , walupun ongkos ga sesuai tapi dia mau ambil orderan",5,Positif
Saat lagi mengendara sering menanyakan agar semua order di tepatkan dengan tujuannya,5,Positif
"Suka sama app maxim. Tapi tolong permudah di maps nya dong, banyak tempat yang gabisa di cari. Dan tolong adain penbayaran non tunai isi saldo lewat mbanking",4,Positif
"Admin customer service pada kemana? Feedback/dukungan dari customer ga pernah ada tanggapan dan jawaban. Driver tolong diseleksi, saya kirim barang dibawa kabur drivermu, pernah pesen bike dikantor dengan pembayaran non tunai driver tidak datang tp saldo saya sudah terpotong. Sudah feedback lebih dari sebulan blm ada jawaban, harusnya pihak maxim bertanggung jawab sudah berapa banyak cust yg dirugikan. SELEKSI DRIVER YG KETAT, agak kapok sih.",3,
"Aplikasih aneh, saya sedang order tiba² log out sendiri, ketika dimasukkan kembali, pas menunggu kode otp, tidak ada sampai saat ini masuk, apk aneh",1,Negatif
"simple, drivernya ramah-ramah, biayanya murah pokoknya keren lah👍",5,Positif
"terima kasih untuk abang'y sudah nganterin saya ,meskipun titik drop'y salah jadi agak jauh.. tapi dengan ikhlas mengantar saya.. salut untuk abang'y... semoga banyak rezeki untuk abang'y.",5,Positif
masnya sopan dan cepat menguasai lapangan jg best,5,Positif
"kritik di bagian nomor hp (data pribadi) karena driver bisa tau.. mungkin lebih baik di samarkan supaya tidak di salahgunakan khusus nomor pribadi nya.... soalnya banyak bngt driver yang kadang usil, dll (ga semuanya).. contohnya kayak aplikasi sebelah, nmor di samarkan, kecuali darurat .. selain itu baguss"" bngt aplk nya",4,Positif
Baru mau coba ...saya ketik alamat tujuan ga muncul2 ..cari dimap jg ga ada ..padahal alamat sekolah ttp ga ada juga ..sory saya unstall lg ..tidak direkomendasikan unt apl ini ..ada harga ada rupa ..,3,
Driver super ramah dan penjemputan tepat waktu.. sopan terima kasih,5,Positif
"Cari alamat tujuan masih susah di temuin, tolong segera di perbaiki, supaya nyaman pake aplikasinya....",4,Positif
"Mohon ditingkatkan pemetaan tujuan bersifat user-friendly, dg opsi tujuan sekitar titik tujuan.. karena tidak setiap calon penumpang bisa menandakan titik tujuan di peta..kalau based on koordinat saja..semoga lebih berkembang dan jaya",3,
"Mohon perjelas lagi setiap detail simpangnya, and tambahkan detail seperti sungai, tugu serta pemberhentian bus",1,Negatif
maps nya dilengkapin dan kalau bsa agak murah lagi ya..hehe,4,Positif
Aplikasi MAXIM INI sangat bagus sekali dan bisa bawa makanan juga ya kawanan kawan sekarang kawan download nya kawan kawan,5,Positif
semenjak ada maxim semuanya jadi mudah dengan harga yang terjangkau,5,Positif
"Untuk mempermudah lokasi alangkah baik nya di chat bisa krim foto titik penjemputan ,terima kasih",5,Positif
terimakasih... drivernya ramah dan mengendarai juga enak.,5,Positif
"semoga tetap jaya,dan harga tetap bersama custamer,sukses trus ke depan nya",5,Positif
"paling murah mantap, tapi perlu perbaikan lagi maps nya.",5,Positif
trimakasi pak ojoll orderan sangat baik dan cepat sekali,5,Positif
klo bisa dibuatkan lebih simple untuk order nya seperti aplikasi sebelah,5,Positif
Sulit untuk mencari lokasi pedaleman..lebih ditingkatkan lagi mapnya!! Sekarang jd gk nyaman gini..Parah!! lama bgt pesen pake maxim pada lelet jemputnya walaupun dh dipercepat tambah biaya 9rb,2,Negatif
"bisa atur waktu penjemputan, dan murah banget, driver ramah",5,Positif
"driver cepat, sat set sat set. jd ngga telat krja . terima kasih ☺️",5,Positif
Mengecewakan .... Tlpn tak bisa gps gx sesui... Driver bikin bingung... Gmn dong nih...tolong pesan chat itu bisa kirim fto dan bisa tlpn dong....biar driver cri mudah...,1,Negatif
"terimakasih ea mas sudah mengantarkan dengan selamat sampai tujuan,sehat selalu semoga lancar rejeki nya, semangat terus ea mas, driver nya ramah banget 😃 semangat mas",5,Positif
menu tampilan semakin mempermudah customer,5,Positif
"Ssngattt ramah dan baik, pelayanan memuaskan walaupun jarak dekat memperlakukan custamer dengan baik, sebanyak saya menaiki maxim mobil baru kali ini ketemu supir seperti ini ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟",5,Positif
"Drivernya sangat ramah dan santun, motornya jg nyaman, saya suka",5,Positif
"Sudah bagus, harga terjangkau. Lebih diperluas wilayah jaringannya lagi",5,Positif
"Apk nya gadak ahlak njirr Masa gua gabisa batalin pesanan nya?!!! Padahal baru diorder gua langsung klik batalin karna salah pesen, dan knp ga tersedia alasan pembatalan nya di apk tsb?!!! Biar apk ini semakin maju buat rakyat yg pakai apk ini itu dibuat nyaman bkn malah sengaja buat onar ada2 aja ahhkkk!!! Udh ga lengkap lgi fasilitas nya ihhh sebel bgt gua",1,Negatif
"baguss murah jugaa, tapi untuk titik jemput mohon di update lagi, saya rada kesulitan harus menyesuaikan titik jemput di petanya, tidak langsung akurat gitu",5,Positif
semoga untuk aplikasi GO food lebih mudah pilihan nya gk membingungkan cara order. dan warung resto semoga lebih banyak lagi,3,
perjalanan nya lumayan enak dan driver nya pun ramah dan harganya jga terjangkau,5,Positif
"Saya merasa tertipu atas adanya driver yg tidak bertanggung jawab ,saya order makanan malah nggak datang padahal saya udah bayar tapi semua nomor wa saya malah di blokir",1,Negatif
driver sangat ramah banget & sabar profesional banget pokoknya,5,Positif
Ini bagus sebenarnya tapi gimana caranya isi saldo nya ya di menu nya ga ada 😮‍💨,2,Negatif
"Maxim makin hari makin buruk. Ordernya lama, yg awalnya 4 menit, pas sisa 1 menit, tiba2 berubah jd 6 menit, dan bisa berulang smpai 3x dlm 1x order.",1,Negatif
utk driver dan price oke tp aplikasi srg susah di gmaps krg update lokasi,4,Positif
"pengemudinya ramah dan sopan, smg tetap memberikan pelayanan terbaiknya",5,Positif
Map nya masih kurang jelas untuk di kota kota kecil tolong di perbaharui lagi,1,Negatif
"Poin Maxim gunanya apa ya?masa harga di aplikasi sama harga yg dibayarkan sama,tapi poin tetep kepotong,aneh betul",1,Negatif
"Hello maxim ,tolong perbaikin koneksi dari map ,dan tujuan untuk penjemputan dan pegantaran gak sesuian dengan tujuan dari map ,jadi saya harap tolong perbaikin dengan perbaikin map yang sesuai dengan tujuan titik pada alamat nya ***",4,Positif
"Lokasinya gk lengkap nih lokasi yang dituju gk akurat di mapnya, mending pake google map aja",2,Negatif
"Maps nya susah banget dicari, masa iya harus pin manual-_",2,Negatif
Untuk maxim tolong jangkauwannya di perluas lagih dong jangan hanya di bagian kota kabupatennya ajah tapi di pelosok2 bagian kabupatennya juga di setarakan,4,Positif
"Untuk mendapatkan pesanan sangat lama, cancel pesanan yang sedang mencari pengemudi juga sangat susah:)",1,Negatif
"orderan tepat dan cepat, baru 2 x menggunakan jasa moxim, mantap pelayanannya",5,Positif
Tolong perbaiki sistem informasi pesanan.. Banyak kurir yg minta tambahan uang dan jika di cancel informasi pesanan bisa ditambah tulisan oleh kurir sebelumnya dan di tulis seolah2 yg order yg nulis pesanan.. Misal ongkir 5 rb.. Ditambah tulisan nanti ongkir 20 rb.. Sangat mengganggu,4,Positif
Ini kenapa tarif jadi naik gede banget sih?ketempat kerja bisanya 11.200 skrng jadi 27.000.parah sih ini.mana titik map banyak yang gak ada.hadeuuuh.,1,Negatif
terjangkau dan simple.. cuma untuk maps belum akurat,5,Positif
sumpahhh aplikasi apaan ..cari pengemudi aja harus sampek 2jam...di daerah saya nyari kemudi itu ya ampun lama sekali🥹tolonglah d perbaiki sering gangguan pula🥱🥱🥱🥱,2,Negatif
Maxim gak bisa map satelit yahhh?? Susah banget nandain posisi jelas nya dimana Gak bisa dipercepat sistem Map Satelit biar jelas nunjukin alamat/ rumah/tempat yg dituju,2,Negatif
Untuk alamat tujuan masih kurang banyak pilihan yang harus di klik. Jadi masih bingung saya.,4,Positif
"pelayanan jemput cepat, driver baik dan cepat sampe tujuan.",5,Positif
"Selamat pagi, langsung aja engga usah panjang lebar,tolong map-nya di perbaiki,banyak cs titik jemputnya engga sesuai,larinya kmn2 jangan karena titik jemput banyak diriver yg ribut sama cs, tolong perhatikan ini, terimakasih.",1,Negatif
"Fitur pencari alamatnya masih kurang, dimasukan dengan alamat lengkappun ga terlihat di map nya",3,
"Tolong dong di perhatikan kendaraan untuk para drivernya... bukan apa2.. sering banget dapetnya driver yang bawa motor bebek supra dan kondisi ny sudah tidak layak.. jalan nya ngeden dipaksakan, shock mati, jok ny yang model perosotan dan injekan untuk kaki udah mleyot.. bener2 sangat tidak nyaman..",5,Positif
"maps nya parah banget,gabisa nentuin titik jemput,hasilnya saya harus nambah duit lagi,dan tidak ada fitur kirim foto,jadinya bingung tolong di tambahi fitur foto dan titik maps diperbaiki",1,Negatif
Maps harus diperbaiki karena petanya membuat saya bingung Utk harga sangat murah,4,Positif
"tarif harga tidak sesuai dengan pas selesai sampai tujuan, jd lbh mahal",1,Negatif
aplikasi yg isinya driver bad attitude semua mentang2 murah perlakukan penumpang seenaknya!!!! maps jg muter2 hduh buruk sekali,1,Negatif
"Sekedar saran buat para drivernya, tolong pelajari cara membaca map agar paham benar dan tidak menyalahkan pelanggan.",5,Positif
"tolong tambahin beberapa option pembayarann yaa minnn, plis bgtt kadang mau order tapi gaada cash, kalau mau top up saldo juga agak ribet di maxim, thank you! Semoga lebih diperbaiki lagi sistemnya dan overall bagus!",5,Positif
"mobil nya bersih orang nya ramah ,pertahan kan yah mas",5,Positif
"Kasian kurir nya, klo toko nya itu GK ada di map, mo liburan atau jalan kemana mana juga bingung sama alamat di map nya maxsim, tolong ya informasi seputar pembaruan MAP nya lebih di tingkatkan lagi",1,Negatif
mantul apk ini. ga perlu nunggu lama. dan tarif paling murah dibanding dgn gojek dan grab.,5,Positif
Baik semua sih cuma kok titik penjemputan nya tidak Pas . Brumbungan kok di jemput di Pinggading padahal jln Brumbungan itu kan jln raya . Ya cuma itu aja . Dan trimakasih,5,Positif
"Kecewa bgt sama Maxim, padahal sebeum pesen harga tertera 16.200. Pas sampe tujuan si driver bilang ongkosnya 26.200. Padahal jelas2 harganya pas mau pesen 16.200, udh drivernya main hp terus salam perjalanan, balesin wa terus. Maaf saya uninstal, masih lebih baik indriver.",1,Negatif
"drivernya sungguh luar biasa baiknya, atitutnya ok... semoga selalu mendapatkan konsumennya banyak rezekinya ... terimakasih",5,Positif
Pas baru bangun tidur nyalain data tiba-tiba masuk notif mengenai pesanan makanan lewat apk ini.! Aplikasi ini bisa mengorder sendiri yah.? Tanpa kita buka aplikasi,1,Negatif
"Pertama kalinya sy order di aplikasi Maxim order taxi untuk ibu saya, di aplikasi tertera 31.600 dgn pembayaran tunai tapi si driver meminta 60.000.. Bukan hanya mslh nominal tp org ini menipu orangtua !!! Bertahun² ada taxi online (gojek atau grab) sy biasa orderkan untuk ibu sy tidak pernah kejadian seperti ini.. janganlah pekerjakan PENIPU !!! *Driver atas nama Ari Sutarya dengan Daihatsu Xenia, warna putih, nopol D365VV.* Sangat mengecewakan sekali auto sy hapus ni aplikasi !!",1,Negatif
"Mapnya lemot, sering ga akurat, mau order lama di cari titik lokasi tujuan . Ga bisa buat buru².",2,Negatif
"susah banget mau pilih lokasi nya, terlalu ribet. tolong dibuat efesien seperti apk sebelah ya",3,
"Terima kasih sudah mengantarkan anak saya dengan selamat, semoga selalu sehat dan lancar rejekinya. 🤲",5,Positif
"Aplikasi gak guna, mau di cancel gak bisa mapah nambah orderan bukannya di cancel apk gak guna, benahin duku apk lu nyesel gua download bukannya ngebantu malah nyusahin",1,Negatif
Ojek online maxim sangat membantu sekali dalam aktivitas masyarakat umum khususnya ditranportasi sangat membantu dalam hal menghemat biaya dalam hal transportasi sangat menghemat pokoknya🙏,5,Positif
Masa drivernya marah2 di bayar pake maxim wallet katanya duitnya ngga masuk jd saya di bilang ngga bayar. Tolonglah ya drivernya itu di bekalin dikit pengetahuan sebelum jadi member driver. Terus kalo emg masalah sama walletnya seenggakny ngga usah ada fitur bayar melalui akun wallet maxim. Malu2in penumpang aja driver neriakin ngga bayar padahal bayarnya nontunai.,1,Negatif
"mungkin driver dibekali lagi yaa, supaya lebih sopan ke pelanggan , tapi gak semua driver kok,, Terima kasih",4,Positif
"sudah bagus ,,tinggal jalan'a saja lebih di perbanyak maps'a ,,karena masih banyak alamat yang belum terdeteksi ..",4,Positif
"Maps yg di aplikasi gak jelas. Saya mau mesan mobil alamat sangat tidak sesuai, tolong di perbaiki",1,Negatif
"Aplikasi yang sangat buruk. Pesan food berjam-jam belum dapat juga, mana gak bisa di cancel lagi pesanan nya. Tolong lah perbaiki sistem aplikasi Maxim nya kalau mau maju.",1,Negatif
Untuk setiap pendaftar kalau bisa disarankan untuk mengisi data KTP atau data pelajar atau foto selfie Karena Pernah mengeluh driver mendapatkan orderan palsu deleveri,5,Positif
"tiga bintang dulu karena saya masih blm puas karena tidak bisa pesan buat wilayah demak kota, cmn sekitar wilayah smg saja🙂",3,
Sangat Bagus pelayanannya dan tepat waktu sesuai jam jemput... silahkan dicoba untuk di order.. ok sekian dari saya dan terimakasih..,5,Positif
"Pengalaman pertama menggunakan jasa maxim. Biaya tarif cukup kompetitif, aplikasinya masih perlu peningkatan, itu aja sementara 🙏",3,
Tolong dipertimbangkan lagi untuk harganya jangan terlalu murah kasihan para drivernya bukannya untung malah buntung,5,Positif
kurrirnya rama sekali dan enak dalam berkomunikasi 🙏.,5,Positif
"Sorry sebelumnya, sudah agak ada kemajuan sedikit to Maxim map-nya udah keliatan titik jemput dan tujuan udah bisa diliat di map tapi saya masih tetep gak bisa pesan Maxim disuruh masukin no telepon udah masih tetep gak bisa pesan dan moga2 bisa kembali normal dan bisa digunakan lagi aplikasi maximnya trim's banyak.",4,Positif
Terimakasih banyak atas Drivingnya. Jangan bosan-bosan tarik ke daerah Toisapu Yoh 😁😁,5,Positif
driver sangat ramah meskipun titik penjemputan sangat jauh & rute perjalanan sangat pendek. sehat selalu & berkah rejekinya y pak,5,Positif
"Apkikasi ojol ga jelas!!! Pesen makanan ternyata warungnya tutup padahal diaplikasi bisa di pesen. Kata driver suruh batalin, tapi gabisa dibatalin bisa nya ganti pesanan ke tmpt makan lain. Pas udah ganti tempat makan eh malah jadi dua orderan yg sebelumnya toko tutup dan satunya yg setelah ganti pesanan. Gajelas lu maxim",1,Negatif
"walaupun baru pertama kali tapi good banget pokoknya gk nyesel aku instal maxim ini karena tarif nya is the best,buat teman""yang belum instal maxim ini yuk coba instal,semoga teman""gk nyesel deh,semoga juga maxim selalu sukses yah,amin ❤️maxim😍👏🏻👍🏻🤲🏻😊☺️🤭",5,Positif
"super, mobil bersih, driver ramah, bawa mobilnya nyaman. mantap. law bisa kasih bintang 10",5,Positif
"Maxim error, setelah update malah logout sendiri, trus mau login minta kode OTP ngga dikasih-kasih",1,Negatif
Maps nya kok lama betul update nya Sekarang udh tahun 2023 knp maps nya malah 5 tahun lalu...,3,
Order ko 3 x di cancel sama drivernya... Sudah lama nunggunya eh di cancel... Kalau gak mampu narik jangan pakai aplikasi nya...,1,Negatif
mantap sekali murah. tapi belum update google map nya kurang puas,5,Positif
"👍👍👍👍👍Sangat membantu,cepat,harga ekonomis merakyat,&santun ramah.",5,Positif
Harga terjangkau. Tp kelemahannya.... Selalu dpt diver jaaaaauuuuhhh skali dari titik lokasi. Misal sy di Semarang selatan. Tau2 dpt ny di ungaran timur. Atau semarang bawah dll. Jd ga bisa kl kita butuh cepet.... Sama maps nya titik suka tdk sesuai. Jd driver sll nyasar,4,Positif
"Aku sdh langganan maxim krn hrganya murah tp kmren aku sdkit kcwa krn waktu aku pesen hrga yg tertera 10.400 tp bgtu sampai di rmh hrganya berubah jd 19.500 hmpir 2x lipat hrga yg biasae,,,,, setiap hari aku pesen hrgae ya 10.400 tp kmren tiba"" berubah dan kejadian sprti ini sdh 2x terjadi,,, tolong hrgae itu yg sesuai donk sm di awal pemesanan mau komplain gak ada menu chat dg cs nya di aplikasi",3,
"harga bersaing (lebih murah), hanya alamat kadang gak langsung muncul,",5,Positif
"Sebenernya bagus, tapi maps nya sulit. Jd mau pesen tuh susah banget apalagi kantor di daerah yg ga rame. Dan juga ga ngerti mekanisme ""tempat favorit"" Jd tuh udh buat tempat favorit sbg titik jemput tp knp gabisa ke pesan terus ya apalagi kalau titiknya itu gaada namanya di maps. Pusing banget aseli",3,
pengemudi ramah dan mengantar cepat sampe tujuan. Terima kasih,5,Positif
"Saya tidak bisa masuk, no yg saya masukan tidak bisa dapat OTP.. Mohon diberikan pencerahan sama pihak admin maxim",1,Negatif
"suka banget pake maksim harga murah drpd lapak lain, aplikasi sederhana gk ruwet tp masih perlu banyak update sistemnya biar makin canggih dan banyak yg makek",5,Positif
"Driver baik, ramah, berkendara dengan aman & nyaman.",5,Positif
Admin tolong map nya dilengkapi lagi. Kendala dari customer titik penjemputan dan titik tujuan sering ga muncul di mapnya.,4,Positif
"order y mudah, drivernya ramah, tarif y terjangkau 👍👍👍👍",5,Positif
"aplikasi untuk pilihan food-nya masih membingungkan, semoga kedepan bisa lebih baik",3,
"Saya suka dg maxim dia harga nya sangat terjangkau sangat bersahabat di kantong ga kaya aplikkasi sebelah apalagi mahasiswa sprt saya ini. Tp saya mohon utk perusahaannya jika memang driver nya mdptkn orderan kemudian di tolak,mohon utk tdk memotong saldo nya. Krn saya mendpt crita dr slh satu drivernya. Tolonglah utk memikirkan drivernya juga,bukan hanya pelanggannya karna kita ini smsm manusia",3,
Over all bagus. Tapi gk bisa top up saldo maxim atau dihubungkan dengan pembayaran kartu ya,3,
